file_path,category,speaker_name_from_file,name,consent_18_plus,data_sharing_consent,age_range,english_acquired_location,native_language,other_languages,age_learned_english,countries_lived,gender,uw_affiliation,recording_device,language_background_notes,accent_nationality_origin,audio_quality_rating,quality_notes,prompt_type,script_type,prompt,model_version,model_output
client-disagreement/cd - speaker_05.wav,client-disagreement,speaker_05,speaker_05,Yes,Yes,18-24,"born and grew up in the United States, specifically in the greater Seattle area",English,Mandarin,native,United States,male,No,Macbook (PC),,American,10.0,"clear audio, no noise.",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate provided a clear and organized response, detailing the situation, their recommendation, the client's disagreement, and the steps taken to address the issue. They demonstrated an understanding of the client's perspective by asking them to explain their reasoning, and they used scenario analysis to illustrate potential risks. The candidate also emphasized the importance of diversification and risk management, ultimately reaching a compromise that satisfied both parties. However, the response could be improved by including more specific details about the scenarios discussed and the final outcome in terms of client satisfaction or portfolio performance. Overall, the answer was coherent, relevant, and complete, but could benefit from additional depth in the analysis and results. Rating: 6""}"
client-disagreement/cd - speaker_05.wav,client-disagreement,speaker_05,speaker_05,Yes,Yes,18-24,"born and grew up in the United States, specifically in the greater Seattle area",English,Mandarin,native,United States,male,No,Macbook (PC),,American,10.0,"clear audio, no noise.",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, with words being clearly enunciated and easy to understand. The pacing was steady, though slightly on the slower side, which helped in maintaining clarity but could be more dynamic to keep engagement high. The rhythm of speech was consistent, but there were moments where the tone could have been more varied to convey confidence and engagement more effectively. Overall, the candidate demonstrated decent verbal fluency, but there is room for improvement in adding more energy and variation to the tone to better engage the listener. Rating: 5""}"
client-disagreement/cd - speaker_06.wav,client-disagreement,speaker_06,speaker_06,Yes,Yes,18-24,United States,English,Japanese,native,United States,female,Yes - Student,iphone (mobile),,American,9.0,"clear audio, no noise, slight consistent noise from fan",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's response is clear and well-organized, directly addressing the question by describing a specific situation where a client disagreed with their recommendation. They provide context about the client's reasoning, explain their own recommendation, and detail the steps they took to understand the client's perspective. The candidate also describes how they facilitated a discussion about potential risks and ultimately reached a compromise. The logical flow is coherent, and the answer is complete, covering the initial disagreement, the process of handling it, and the outcome. To improve, the candidate could add more detail about the specific scenarios discussed or the metrics used to evaluate risk, which would further demonstrate their expertise. Overall, the response is strong and relevant to the question. Rating: 6""}"
client-disagreement/cd - speaker_06.wav,client-disagreement,speaker_06,speaker_06,Yes,Yes,18-24,United States,English,Japanese,native,United States,female,Yes - Student,iphone (mobile),,American,9.0,"clear audio, no noise, slight consistent noise from fan",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, with words being clearly enunciated and easy to understand. The pacing was steady, though slightly on the slower side, which helped in maintaining clarity but could be improved by adding a bit more dynamism to keep the listener engaged. The rhythm of speech was consistent, but there were moments where the tone could have been more varied to convey confidence and engagement more effectively. Overall, the candidate demonstrated verbal fluency, but could benefit from injecting more energy and confidence into their tone to enhance engagement. Rating: 5""}"
client-disagreement/cd - speaker_07.wav,client-disagreement,speaker_07,speaker_07,Yes,Yes,18-24,Nigeria,English,Ebira,native,Nigeria,male,No,xaiomi note 13,I am actively involved in NLP research evaluating cultural reasoning.,Nigerian,9.0,"clear audio, no noise. slight white noise",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate provides a clear and organized response, detailing the situation, their approach, and the outcome. They explain the client's initial disagreement, their own recommendation, and how they engaged the client in a collaborative discussion to understand their perspective. The candidate also describes the process of working through scenarios to illustrate the risks, and how they reached a compromise. The answer is relevant to the question, coherent, and logically flows from the problem to the resolution. However, the response could be improved by including more specific details about the scenarios discussed and the exact nature of the compromise, as well as reflecting on what they learned from the experience. Overall, the response is strong but could benefit from deeper insights and specifics. Rating: 6""}"
client-disagreement/cd - speaker_07.wav,client-disagreement,speaker_07,speaker_07,Yes,Yes,18-24,Nigeria,English,Ebira,native,Nigeria,male,No,xaiomi note 13,I am actively involved in NLP research evaluating cultural reasoning.,Nigerian,9.0,"clear audio, no noise. slight white noise",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, with words being clearly enunciated and easy to understand. The pacing was steady, though there were moments where the rhythm felt slightly uneven, which could be improved by practicing a more consistent flow. The tone conveyed a moderate level of confidence and engagement, but there were instances where the energy dipped, suggesting that the candidate could benefit from maintaining a more dynamic and enthusiastic tone throughout. Overall verbal fluency was solid, with minimal filler words, but there is room for improvement in maintaining a more engaging and confident delivery. Rating: 5""}"
client-disagreement/cd - speaker_08.wav,client-disagreement,speaker_08,speaker_08,Yes,Yes,25-34,"US, spent first ~7 years in Seattle, WA, then mostly lived in Connecticut until moving back to Seattle in 2020",English,"None fluently (heard a lot of korean though as a baby/toddler). I've studied Spanish, Mandarin Chinese, Korean, and Japanese however",native,"First ~7 years: Seattle, WA, USA next ~12 years: Westport, CT, USA next ~4 years: Wellesley, MA, USA Last ~6 years: Seattle, WA, USA",nonbinary,Yes - Student,condenser microphone attached to my macbook pro laptop (using voice memos to record),,American,10.0,"clear audio, no noise.",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate provides a clear and organized response, detailing the situation, their recommendation, the client's pushback, and the steps taken to reach a compromise. They demonstrate an understanding of the client's perspective by asking for their reasoning and then guiding the conversation through potential scenarios. The response is relevant to the question and shows a logical flow from the initial disagreement to the resolution. However, the candidate could improve by elaborating on the specific strategies used to communicate the importance of diversification and how they ensured the client felt heard throughout the process. Additionally, mentioning any follow-up actions or lessons learned would add completeness to the answer. Overall, the response is strong but could benefit from more depth in certain areas. Rating: 6""}"
client-disagreement/cd - speaker_08.wav,client-disagreement,speaker_08,speaker_08,Yes,Yes,25-34,"US, spent first ~7 years in Seattle, WA, then mostly lived in Connecticut until moving back to Seattle in 2020",English,"None fluently (heard a lot of korean though as a baby/toddler). I've studied Spanish, Mandarin Chinese, Korean, and Japanese however",native,"First ~7 years: Seattle, WA, USA next ~12 years: Westport, CT, USA next ~4 years: Wellesley, MA, USA Last ~6 years: Seattle, WA, USA",nonbinary,Yes - Student,condenser microphone attached to my macbook pro laptop (using voice memos to record),,American,10.0,"clear audio, no noise.",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally good, with each word being clearly enunciated. The pacing was steady and consistent, though there were moments where a slight increase in energy could have enhanced engagement. The rhythm of speech was smooth, but the tone could have conveyed more confidence and enthusiasm to better captivate the listener. Overall verbal fluency was strong, with minimal filler words and a coherent flow. To improve, the candidate could focus on varying their intonation to emphasize key points and convey more passion, as well as maintaining a slightly more dynamic pace to keep the listener engaged. Rating: 5""}"
client-disagreement/cd - speaker_10.wav,client-disagreement,speaker_10,speaker_10,Yes,Yes,25-34,China,Chinese,English,9,"China, U.S.",female,Yes - Student,iphone (mobile),,Chinese,5.0,"beginning of audio cuts off, resolves after a few seconds. clear audio, no noise after that.",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate provided a clear and organized response, detailing a specific situation where a client disagreed with their recommendation. They explained the context, their approach to understanding the client's perspective, and how they facilitated a discussion to explore potential outcomes. The candidate demonstrated a logical flow by acknowledging the client's viewpoint, discussing risk management, and arriving at a compromise. However, the response could be improved by including more details on the final outcome and the impact of the compromise on the client's portfolio performance. Additionally, the candidate could have elaborated on any lessons learned or how this experience influenced their future interactions with clients. Overall, the response was relevant and coherent, but could benefit from more depth in the conclusion. Rating: 5""}"
client-disagreement/cd - speaker_10.wav,client-disagreement,speaker_10,speaker_10,Yes,Yes,25-34,China,Chinese,English,9,"China, U.S.",female,Yes - Student,iphone (mobile),,Chinese,5.0,"beginning of audio cuts off, resolves after a few seconds. clear audio, no noise after that.",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally understandable, though there were moments where words were slightly mumbled or rushed, which could be improved with more deliberate enunciation. The pacing and rhythm of speech were somewhat uneven, with occasional pauses that disrupted the flow, suggesting a need for more practice to maintain a steady pace. The tone conveyed a moderate level of confidence, but there were instances where the voice sounded hesitant, indicating that the candidate could benefit from more rehearsal to boost confidence and engagement. Overall verbal fluency was adequate, but there is room for improvement in smoothing out transitions and reducing filler pauses. Rating: 4""}"
client-disagreement/cd - speaker_11.wav,client-disagreement,speaker_11,speaker_11,Yes,Yes,25-34,Nigeria ,English,Yoruba ,Native,Nigeria ,male,No,samsung (mobile),,Nigerian,9.0,"clear audio, no noise. slight muffle not significant",critical,content,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on the substance of their response, e.g. clarity and organization of ideas, relevance to the question asked, coherence and logical flow, completeness of answer. Do NOT evaluate their speech delivery. Instead, help the candidate improve their response content by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate provided a clear and relevant example of a client disagreement, explaining the situation, their recommendation, and the client's perspective. They demonstrated good listening skills by asking the client to walk through their thinking, which shows empathy and a collaborative approach. The candidate also explained the concept of diversification and risk management, and described how they reached a compromise. However, the response could be improved by including more details on the specific steps taken to reach the compromise, the outcome of the decision, and any lessons learned from the experience. Overall, the response was coherent and logically structured, but could benefit from more depth and reflection. Rating: 5""}"
client-disagreement/cd - speaker_11.wav,client-disagreement,speaker_11,speaker_11,Yes,Yes,25-34,Nigeria ,English,Yoruba ,Native,Nigeria ,male,No,samsung (mobile),,Nigerian,9.0,"clear audio, no noise. slight muffle not significant",critical,delivery,"You will listen to the following audio recording of a candidate's interview response to the question: 'Tell me about a time when a client disagreed with your recommendation. How did you handle it?' Please critically evaluate the candidate on a 1-7 scale (1=Novice, 7=Expert), based on their vocal presentation, e.g. vocal clarity and articulation, pacing and rhythm of speech, confidence and engagement in tone, overall verbal fluency. Do NOT evaluate the content of their speech. Instead, help the candidate improve their response delivery by providing critical feedback. Respond in one paragraph, and end your response with ""Rating: X"", where X is a single digit on a 1-7 scale.",gpt-audio-1.5,"{""analysis"": ""The candidate's vocal clarity and articulation were generally understandable, though there were moments where words were slightly mumbled or lacked crispness. The pacing was somewhat uneven, with occasional pauses that disrupted the flow, but overall the rhythm was steady enough to follow. The tone conveyed a moderate level of confidence, though it could be more engaging to fully capture the listener's attention. Verbal fluency was adequate, but there were a few hesitations that could be smoothed out with practice. To improve, the candidate could focus on enunciating more clearly, maintaining a consistent pace, and injecting more energy into their tone to convey greater confidence and engagement. Rating: 4""}"
